CSD Number,Province Code,Indicator,Indicator Sort,Children Count,Percent,Value Status
1001228,10,Indigenous Identity,2,0,0.0,Reportable
1001228,10,Parent(s) Less Than High School,3,0,,Reportable
1001228,10,Immigrant Parent(s),4,0,,Reportable
1001228,10,Lone Parent,5,0,,Reportable
1001234,10,Below LIM,1,0,0.0,Reportable
1001234,10,Indigenous Identity,2,0,0.0,Reportable
1001234,10,Parent(s) Less Than High School,3,0,,Reportable
1001234,10,Immigrant Parent(s),4,0,,Reportable
1001234,10,Lone Parent,5,0,,Reportable
1001240,10,Below LIM,1,0,0.0,Reportable
1001240,10,Indigenous Identity,2,0,0.0,Reportable
1001240,10,Parent(s) Less Than High School,3,10,8.0,Reportable
1001240,10,Immigrant Parent(s),4,0,0.0,Reportable
1001240,10,Lone Parent,5,50,40.0,Reportable
1001254,10,Below LIM,1,,,Suppressed
1001254,10,Indigenous Identity,2,0,0.0,Reportable
1001254,10,Parent(s) Less Than High School,3,0,,Reportable
1001254,10,Immigrant Parent(s),4,0,,Reportable
1001254,10,Lone Parent,5,0,,Reportable
1001259,10,Below LIM,1,0,0.0,Reportable
1001259,10,Indigenous Identity,2,0,0.0,Reportable
1001259,10,Parent(s) Less Than High School,3,0,,Reportable
1001259,10,Immigrant Parent(s),4,0,,Reportable
1001259,10,Lone Parent,5,0,,Reportable
1001263,10,Below LIM,1,,,Suppressed
1001263,10,Indigenous Identity,2,0,0.0,Reportable
1001263,10,Parent(s) Less Than High School,3,0,,Reportable
1001263,10,Immigrant Parent(s),4,0,,Reportable
1001263,10,Lone Parent,5,0,,Reportable
1001267,10,Below LIM,1,0,0.0,Reportable
1001267,10,Indigenous Identity,2,0,0.0,Reportable
1001267,10,Parent(s) Less Than High School,3,0,,Reportable
1001267,10,Immigrant Parent(s),4,0,,Reportable
1001267,10,Lone Parent,5,0,,Reportable
1001270,10,Below LIM,1,0,0.0,Reportable
1001270,10,Indigenous Identity,2,0,0.0,Reportable
1001270,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001270,10,Immigrant Parent(s),4,0,0.0,Reportable
1001270,10,Lone Parent,5,0,0.0,Reportable
1001274,10,Below LIM,1,,,Suppressed
1001274,10,Indigenous Identity,2,0,0.0,Reportable
1001274,10,Parent(s) Less Than High School,3,0,,Reportable
1001274,10,Immigrant Parent(s),4,0,,Reportable
1001274,10,Lone Parent,5,0,,Reportable
1001277,10,Below LIM,1,0,0.0,Reportable
1001277,10,Indigenous Identity,2,0,0.0,Reportable
1001277,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001277,10,Immigrant Parent(s),4,0,0.0,Reportable
1001277,10,Lone Parent,5,0,0.0,Reportable
1001281,10,Below LIM,1,,,Suppressed
1001281,10,Indigenous Identity,2,0,0.0,Reportable
1001281,10,Parent(s) Less Than High School,3,0,,Reportable
1001281,10,Immigrant Parent(s),4,0,,Reportable
1001281,10,Lone Parent,5,0,,Reportable
1001285,10,Below LIM,1,0,0.0,Reportable
1001285,10,Indigenous Identity,2,0,0.0,Reportable
1001285,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001285,10,Immigrant Parent(s),4,0,0.0,Reportable
1001285,10,Lone Parent,5,20,80.0,Reportable
1001289,10,Below LIM,1,0,0.0,Reportable
1001289,10,Indigenous Identity,2,0,0.0,Reportable
1001289,10,Parent(s) Less Than High School,3,0,,Reportable
1001289,10,Immigrant Parent(s),4,0,,Reportable
1001289,10,Lone Parent,5,0,,Reportable
1001293,10,Below LIM,1,0,0.0,Reportable
1001293,10,Indigenous Identity,2,0,0.0,Reportable
1001293,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001293,10,Immigrant Parent(s),4,0,0.0,Reportable
1001293,10,Lone Parent,5,15,25.0,Reportable
1001298,10,Below LIM,1,0,0.0,Reportable
1001298,10,Indigenous Identity,2,0,0.0,Reportable
1001298,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001298,10,Immigrant Parent(s),4,0,0.0,Reportable
1001298,10,Lone Parent,5,0,0.0,Reportable
1001304,10,Below LIM,1,0,0.0,Reportable
1001304,10,Indigenous Identity,2,0,0.0,Reportable
1001304,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001304,10,Immigrant Parent(s),4,0,0.0,Reportable
1001304,10,Lone Parent,5,20,16.0,Reportable
1001308,10,Below LIM,1,0,0.0,Reportable
1001308,10,Indigenous Identity,2,0,0.0,Reportable
1001308,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001308,10,Immigrant Parent(s),4,0,0.0,Reportable
