CSD Number,Province Code,Indicator,Indicator Sort,Children Count,Percent,Value Status
2461020,24,Immigrant Parent(s),4,0,0.0,Reportable
2461020,24,Lone Parent,5,0,0.0,Reportable
2461025,24,Below LIM,1,215,18.2,Reportable
2461025,24,Indigenous Identity,2,35,3.0,Reportable
2461025,24,Parent(s) Less Than High School,3,205,17.29957805907173,Reportable
2461025,24,Immigrant Parent(s),4,270,22.78481012658228,Reportable
2461025,24,Lone Parent,5,240,20.253164556962027,Reportable
2461027,24,Below LIM,1,0,0.0,Reportable
2461027,24,Indigenous Identity,2,0,0.0,Reportable
2461027,24,Parent(s) Less Than High School,3,25,9.803921568627452,Reportable
2461027,24,Immigrant Parent(s),4,0,0.0,Reportable
2461027,24,Lone Parent,5,50,19.607843137254903,Reportable
2461030,24,Below LIM,1,20,4.4,Reportable
2461030,24,Indigenous Identity,2,0,0.0,Reportable
2461030,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2461030,24,Immigrant Parent(s),4,30,6.666666666666667,Reportable
2461030,24,Lone Parent,5,65,14.444444444444443,Reportable
2461035,24,Below LIM,1,65,11.2,Reportable
2461035,24,Indigenous Identity,2,0,0.0,Reportable
2461035,24,Parent(s) Less Than High School,3,35,6.0344827586206895,Reportable
2461035,24,Immigrant Parent(s),4,65,11.206896551724139,Reportable
2461035,24,Lone Parent,5,70,12.068965517241379,Reportable
2461040,24,Below LIM,1,0,0.0,Reportable
2461040,24,Indigenous Identity,2,0,0.0,Reportable
2461040,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2461040,24,Immigrant Parent(s),4,20,8.51063829787234,Reportable
2461040,24,Lone Parent,5,25,10.638297872340425,Reportable
2461045,24,Below LIM,1,0,0.0,Reportable
2461045,24,Indigenous Identity,2,0,0.0,Reportable
2461045,24,Parent(s) Less Than High School,3,20,9.090909090909092,Reportable
2461045,24,Immigrant Parent(s),4,0,0.0,Reportable
2461045,24,Lone Parent,5,0,0.0,Reportable
2461050,24,Below LIM,1,0,0.0,Reportable
2461050,24,Indigenous Identity,2,0,0.0,Reportable
2461050,24,Parent(s) Less Than High School,3,25,9.803921568627452,Reportable
2461050,24,Immigrant Parent(s),4,0,0.0,Reportable
2461050,24,Lone Parent,5,45,17.647058823529413,Reportable
2462007,24,Below LIM,1,55,13.8,Reportable
2462007,24,Indigenous Identity,2,0,0.0,Reportable
2462007,24,Parent(s) Less Than High School,3,20,4.938271604938271,Reportable
2462007,24,Immigrant Parent(s),4,0,0.0,Reportable
2462007,24,Lone Parent,5,55,13.580246913580247,Reportable
2462015,24,Below LIM,1,15,6.4,Reportable
2462015,24,Indigenous Identity,2,0,0.0,Reportable
2462015,24,Parent(s) Less Than High School,3,15,6.521739130434782,Reportable
2462015,24,Immigrant Parent(s),4,0,0.0,Reportable
2462015,24,Lone Parent,5,35,15.217391304347828,Reportable
2462020,24,Below LIM,1,0,0.0,Reportable
2462020,24,Indigenous Identity,2,0,0.0,Reportable
2462020,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2462020,24,Immigrant Parent(s),4,0,0.0,Reportable
2462020,24,Lone Parent,5,10,8.695652173913043,Reportable
2462025,24,Below LIM,1,0,0.0,Reportable
2462025,24,Indigenous Identity,2,0,0.0,Reportable
2462025,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2462025,24,Immigrant Parent(s),4,0,0.0,Reportable
2462025,24,Lone Parent,5,15,13.043478260869565,Reportable
2462030,24,Below LIM,1,0,0.0,Reportable
2462030,24,Indigenous Identity,2,0,0.0,Reportable
2462030,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2462030,24,Immigrant Parent(s),4,0,0.0,Reportable
2462030,24,Lone Parent,5,10,9.523809523809524,Reportable
2462037,24,Below LIM,1,85,13.6,Reportable
2462037,24,Indigenous Identity,2,25,4.0,Reportable
2462037,24,Parent(s) Less Than High School,3,50,8.064516129032258,Reportable
2462037,24,Immigrant Parent(s),4,50,8.064516129032258,Reportable
2462037,24,Lone Parent,5,120,19.35483870967742,Reportable
2462047,24,Below LIM,1,35,15.6,Reportable
2462047,24,Indigenous Identity,2,0,0.0,Reportable
2462047,24,Parent(s) Less Than High School,3,50,22.22222222222222,Reportable
2462047,24,Immigrant Parent(s),4,10,4.444444444444445,Reportable
2462047,24,Lone Parent,5,65,28.888888888888886,Reportable
2462053,24,Below LIM,1,0,0.0,Reportable
2462053,24,Indigenous Identity,2,0,0.0,Reportable
2462053,24,Parent(s) Less Than High School,3,0,,Reportable
2462053,24,Immigrant Parent(s),4,0,,Reportable
2462053,24,Lone Parent,5,0,,Reportable
2462055,24,Below LIM,1,0,0.0,Reportable
2462055,24,Indigenous Identity,2,0,0.0,Reportable
2462055,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2462055,24,Immigrant Parent(s),4,0,0.0,Reportable
2462055,24,Lone Parent,5,0,0.0,Reportable
2462060,24,Below LIM,1,0,0.0,Reportable
2462060,24,Indigenous Identity,2,0,0.0,Reportable
2462060,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2462060,24,Immigrant Parent(s),4,0,0.0,Reportable
2462060,24,Lone Parent,5,25,20.833333333333336,Reportable
2462065,24,Below LIM,1,0,0.0,Reportable
2462065,24,Indigenous Identity,2,0,0.0,Reportable
2462065,24,Parent(s) Less Than High School,3,25,15.151515151515152,Reportable
2462065,24,Immigrant Parent(s),4,0,0.0,Reportable
2462065,24,Lone Parent,5,30,18.181818181818183,Reportable
2462070,24,Below LIM,1,0,0.0,Reportable
2462070,24,Indigenous Identity,2,0,0.0,Reportable
2462070,24,Parent(s) Less Than High School,3,10,15.384615384615385,Reportable
2462070,24,Immigrant Parent(s),4,0,0.0,Reportable
2462070,24,Lone Parent,5,15,23.076923076923077,Reportable
2462075,24,Below LIM,1,0,0.0,Reportable
2462075,24,Indigenous Identity,2,0,0.0,Reportable
2462075,24,Parent(s) Less Than High School,3,15,15.0,Reportable
2462075,24,Immigrant Parent(s),4,0,0.0,Reportable
2462075,24,Lone Parent,5,25,25.0,Reportable
2462080,24,Below LIM,1,0,0.0,Reportable
2462080,24,Indigenous Identity,2,0,0.0,Reportable
2462080,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2462080,24,Immigrant Parent(s),4,0,0.0,Reportable
2462080,24,Lone Parent,5,0,0.0,Reportable
2462085,24,Below LIM,1,0,0.0,Reportable
2462085,24,Indigenous Identity,2,10,11.8,Reportable
2462085,24,Parent(s) Less Than High School,3,20,22.22222222222222,Reportable
2462085,24,Immigrant Parent(s),4,0,0.0,Reportable
2462085,24,Lone Parent,5,15,16.666666666666664,Reportable
2462802,24,Below LIM,1,65,25.5,Reportable
2462802,24,Indigenous Identity,2,260,100.0,Reportable
2462802,24,Parent(s) Less Than High School,3,145,55.769230769230774,Reportable
2462802,24,Immigrant Parent(s),4,,,Suppressed
2462802,24,Lone Parent,5,,,Missing
2462902,24,Below LIM,1,,,Suppressed
2462902,24,Indigenous Identity,2,,,Suppressed
2462902,24,Parent(s) Less Than High School,3,,,Suppressed
2462902,24,Immigrant Parent(s),4,,,Suppressed
2462902,24,Lone Parent,5,,,Suppressed
2462904,24,Below LIM,1,,,Suppressed
2462904,24,Indigenous Identity,2,,,Suppressed
2462904,24,Parent(s) Less Than High School,3,,,Suppressed
2462904,24,Immigrant Parent(s),4,,,Suppressed
2462904,24,Lone Parent,5,,,Suppressed
2462906,24,Below LIM,1,,,Suppressed
2462906,24,Indigenous Identity,2,,,Suppressed
2462906,24,Parent(s) Less Than High School,3,,,Suppressed
2462906,24,Immigrant Parent(s),4,,,Suppressed
2462906,24,Lone Parent,5,,,Suppressed
2462908,24,Below LIM,1,,,Suppressed
2462908,24,Indigenous Identity,2,,,Suppressed
2462908,24,Parent(s) Less Than High School,3,,,Suppressed
2462908,24,Immigrant Parent(s),4,,,Suppressed
2462908,24,Lone Parent,5,,,Suppressed
2462910,24,Below LIM,1,,,Suppressed
2462910,24,Indigenous Identity,2,,,Suppressed
2462910,24,Parent(s) Less Than High School,3,,,Suppressed
2462910,24,Immigrant Parent(s),4,,,Suppressed
2462910,24,Lone Parent,5,,,Suppressed
2462912,24,Below LIM,1,,,Suppressed
2462912,24,Indigenous Identity,2,0,0.0,Reportable
2462912,24,Parent(s) Less Than High School,3,0,,Reportable
2462912,24,Immigrant Parent(s),4,0,,Reportable
2462912,24,Lone Parent,5,0,,Reportable
2462914,24,Below LIM,1,,,Suppressed
2462914,24,Indigenous Identity,2,,,Suppressed
2462914,24,Parent(s) Less Than High School,3,,,Suppressed
2462914,24,Immigrant Parent(s),4,,,Suppressed
2462914,24,Lone Parent,5,,,Suppressed
2462916,24,Below LIM,1,,,Suppressed
2462916,24,Indigenous Identity,2,,,Suppressed
2462916,24,Parent(s) Less Than High School,3,,,Suppressed
2462916,24,Immigrant Parent(s),4,,,Suppressed
2462916,24,Lone Parent,5,,,Suppressed
2462918,24,Below LIM,1,,,Suppressed
2462918,24,Indigenous Identity,2,,,Suppressed
2462918,24,Parent(s) Less Than High School,3,,,Suppressed
2462918,24,Immigrant Parent(s),4,,,Suppressed
2462918,24,Lone Parent,5,,,Suppressed
2462919,24,Below LIM,1,,,Suppressed
2462919,24,Indigenous Identity,2,,,Suppressed
2462919,24,Parent(s) Less Than High School,3,,,Suppressed
2462919,24,Immigrant Parent(s),4,,,Suppressed
2462919,24,Lone Parent,5,,,Suppressed
2462920,24,Below LIM,1,,,Suppressed
2462920,24,Indigenous Identity,2,,,Suppressed
2462920,24,Parent(s) Less Than High School,3,,,Suppressed
2462920,24,Immigrant Parent(s),4,,,Suppressed
2462920,24,Lone Parent,5,,,Suppressed
2462922,24,Below LIM,1,,,Suppressed
2462922,24,Indigenous Identity,2,,,Suppressed
2462922,24,Parent(s) Less Than High School,3,,,Suppressed
2462922,24,Immigrant Parent(s),4,,,Suppressed
2462922,24,Lone Parent,5,,,Suppressed
2463005,24,Below LIM,1,0,0.0,Reportable
2463005,24,Indigenous Identity,2,0,0.0,Reportable
2463005,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2463005,24,Immigrant Parent(s),4,0,0.0,Reportable
2463005,24,Lone Parent,5,10,16.666666666666664,Reportable
2463013,24,Below LIM,1,30,11.1,Reportable
2463013,24,Indigenous Identity,2,10,3.7,Reportable
2463013,24,Parent(s) Less Than High School,3,35,13.20754716981132,Reportable
2463013,24,Immigrant Parent(s),4,25,9.433962264150944,Reportable
2463013,24,Lone Parent,5,40,15.09433962264151,Reportable
2463023,24,Below LIM,1,0,0.0,Reportable
2463023,24,Indigenous Identity,2,0,0.0,Reportable
2463023,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2463023,24,Immigrant Parent(s),4,0,0.0,Reportable
2463023,24,Lone Parent,5,10,14.285714285714285,Reportable
2463030,24,Below LIM,1,0,0.0,Reportable
2463030,24,Indigenous Identity,2,0,0.0,Reportable
2463030,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2463030,24,Immigrant Parent(s),4,0,0.0,Reportable
2463030,24,Lone Parent,5,10,7.142857142857142,Reportable
2463035,24,Below LIM,1,50,10.0,Reportable
2463035,24,Indigenous Identity,2,10,2.0,Reportable
2463035,24,Parent(s) Less Than High School,3,35,7.000000000000001,Reportable
2463035,24,Immigrant Parent(s),4,0,0.0,Reportable
2463035,24,Lone Parent,5,50,10.0,Reportable
2463040,24,Below LIM,1,0,0.0,Reportable
2463040,24,Indigenous Identity,2,0,0.0,Reportable
2463040,24,Parent(s) Less Than High School,3,0,,Reportable
2463040,24,Immigrant Parent(s),4,0,,Reportable
2463040,24,Lone Parent,5,0,,Reportable
2463048,24,Below LIM,1,200,7.9,Reportable
2463048,24,Indigenous Identity,2,40,1.6,Reportable
2463048,24,Parent(s) Less Than High School,3,175,6.8762278978389,Reportable
2463048,24,Immigrant Parent(s),4,210,8.25147347740668,Reportable
2463048,24,Lone Parent,5,380,14.931237721021612,Reportable
2463055,24,Below LIM,1,60,15.4,Reportable
2463055,24,Indigenous Identity,2,0,0.0,Reportable
2463055,24,Parent(s) Less Than High School,3,100,25.64102564102564,Reportable
2463055,24,Immigrant Parent(s),4,30,7.6923076923076925,Reportable
2463055,24,Lone Parent,5,55,14.102564102564102,Reportable
2463060,24,Below LIM,1,70,7.9,Reportable
2463060,24,Indigenous Identity,2,15,1.7,Reportable
2463060,24,Parent(s) Less Than High School,3,65,7.344632768361582,Reportable
2463060,24,Immigrant Parent(s),4,10,1.1299435028248588,Reportable
2463060,24,Lone Parent,5,150,16.94915254237288,Reportable
2463065,24,Below LIM,1,0,0.0,Reportable
2463065,24,Indigenous Identity,2,0,0.0,Reportable
2463065,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2463065,24,Immigrant Parent(s),4,0,0.0,Reportable
2463065,24,Lone Parent,5,10,9.090909090909092,Reportable
2464008,24,Below LIM,1,345,4.4,Reportable
2464008,24,Indigenous Identity,2,105,1.3,Reportable
2464008,24,Parent(s) Less Than High School,3,290,3.696622052262587,Reportable
2464008,24,Immigrant Parent(s),4,2390,30.46526449968133,Reportable
2464008,24,Lone Parent,5,945,12.045889101338432,Reportable
2464015,24,Below LIM,1,140,4.0,Reportable
2464015,24,Indigenous Identity,2,20,0.6,Reportable
2464015,24,Parent(s) Less Than High School,3,100,2.840909090909091,Reportable
2464015,24,Immigrant Parent(s),4,715,20.3125,Reportable
2464015,24,Lone Parent,5,470,13.352272727272727,Reportable
2465005,24,Below LIM,1,2255,8.7,Reportable
2465005,24,Indigenous Identity,2,250,1.0,Reportable
2465005,24,Parent(s) Less Than High School,3,1205,4.667828781716056,Reportable
2465005,24,Immigrant Parent(s),4,15040,58.26070114274646,Reportable
2465005,24,Lone Parent,5,3330,12.899477048227775,Reportable
2466007,24,Below LIM,1,50,19.6,Reportable
2466007,24,Indigenous Identity,2,0,0.0,Reportable
2466007,24,Parent(s) Less Than High School,3,55,21.568627450980394,Reportable
2466007,24,Immigrant Parent(s),4,55,21.568627450980394,Reportable
2466007,24,Lone Parent,5,100,39.21568627450981,Reportable
2466023,24,Below LIM,1,17205,16.0,Reportable
2466023,24,Indigenous Identity,2,1090,1.0,Reportable
2466023,24,Parent(s) Less Than High School,3,6080,5.667940710357043,Reportable
2466023,24,Immigrant Parent(s),4,64035,59.695161741400206,Reportable
2466023,24,Lone Parent,5,15950,14.869022093782045,Reportable
2466032,24,Below LIM,1,115,14.7,Reportable
2466032,24,Indigenous Identity,2,0,0.0,Reportable
2466032,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2466032,24,Immigrant Parent(s),4,375,47.77070063694268,Reportable
2466032,24,Lone Parent,5,60,7.643312101910828,Reportable
2466047,24,Below LIM,1,15,4.6,Reportable
2466047,24,Indigenous Identity,2,0,0.0,Reportable
2466047,24,Parent(s) Less Than High School,3,10,3.125,Reportable
2466047,24,Immigrant Parent(s),4,100,31.25,Reportable
2466047,24,Lone Parent,5,25,7.8125,Reportable
2466058,24,Below LIM,1,335,14.6,Reportable
2466058,24,Indigenous Identity,2,0,0.0,Reportable
2466058,24,Parent(s) Less Than High School,3,45,1.9607843137254901,Reportable
2466058,24,Immigrant Parent(s),4,1325,57.73420479302832,Reportable
2466058,24,Lone Parent,5,175,7.625272331154684,Reportable
2466062,24,Below LIM,1,20,3.8,Reportable
2466062,24,Indigenous Identity,2,0,0.0,Reportable
2466062,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2466062,24,Immigrant Parent(s),4,170,32.075471698113205,Reportable
2466062,24,Lone Parent,5,15,2.8301886792452833,Reportable
2466072,24,Below LIM,1,140,11.5,Reportable
2466072,24,Indigenous Identity,2,0,0.0,Reportable
2466072,24,Parent(s) Less Than High School,3,15,1.2295081967213115,Reportable
2466072,24,Immigrant Parent(s),4,755,61.885245901639344,Reportable
2466072,24,Lone Parent,5,120,9.836065573770492,Reportable
2466087,24,Below LIM,1,75,7.7,Reportable
2466087,24,Indigenous Identity,2,0,0.0,Reportable
2466087,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2466087,24,Immigrant Parent(s),4,395,40.51282051282051,Reportable
2466087,24,Lone Parent,5,100,10.256410256410255,Reportable
2466092,24,Below LIM,1,,,Suppressed
2466092,24,Indigenous Identity,2,,,Suppressed
2466092,24,Parent(s) Less Than High School,3,,,Suppressed
2466092,24,Immigrant Parent(s),4,,,Suppressed
2466092,24,Lone Parent,5,,,Suppressed
2466097,24,Below LIM,1,75,4.6,Reportable
2466097,24,Indigenous Identity,2,15,0.9,Reportable
2466097,24,Parent(s) Less Than High School,3,20,1.2345679012345678,Reportable
2466097,24,Immigrant Parent(s),4,625,38.58024691358025,Reportable
2466097,24,Lone Parent,5,150,9.25925925925926,Reportable
2466102,24,Below LIM,1,70,7.6,Reportable
2466102,24,Indigenous Identity,2,15,1.6,Reportable
2466102,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2466102,24,Immigrant Parent(s),4,495,53.51351351351351,Reportable
2466102,24,Lone Parent,5,55,5.9459459459459465,Reportable
2466107,24,Below LIM,1,40,3.9,Reportable
2466107,24,Indigenous Identity,2,0,0.0,Reportable
2466107,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2466107,24,Immigrant Parent(s),4,390,38.23529411764706,Reportable
2466107,24,Lone Parent,5,70,6.862745098039216,Reportable
2466112,24,Below LIM,1,0,0.0,Reportable
2466112,24,Indigenous Identity,2,0,0.0,Reportable
2466112,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2466112,24,Immigrant Parent(s),4,50,34.48275862068966,Reportable
2466112,24,Lone Parent,5,15,10.344827586206897,Reportable
2466117,24,Below LIM,1,0,0.0,Reportable
2466117,24,Indigenous Identity,2,0,0.0,Reportable
2466117,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2466117,24,Immigrant Parent(s),4,45,24.324324324324326,Reportable
2466117,24,Lone Parent,5,20,10.81081081081081,Reportable
2466127,24,Below LIM,1,0,0.0,Reportable
2466127,24,Indigenous Identity,2,0,0.0,Reportable
2466127,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2466127,24,Immigrant Parent(s),4,0,0.0,Reportable
2466127,24,Lone Parent,5,0,0.0,Reportable
2466142,24,Below LIM,1,215,8.2,Reportable
2466142,24,Indigenous Identity,2,25,0.9,Reportable
2466142,24,Parent(s) Less Than High School,3,100,3.816793893129771,Reportable
2466142,24,Immigrant Parent(s),4,1505,57.44274809160306,Reportable
2466142,24,Lone Parent,5,255,9.732824427480915,Reportable
2467005,24,Below LIM,1,0,0.0,Reportable
2467005,24,Indigenous Identity,2,0,0.0,Reportable
2467005,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2467005,24,Immigrant Parent(s),4,20,10.256410256410255,Reportable
2467005,24,Lone Parent,5,0,0.0,Reportable
2467010,24,Below LIM,1,0,0.0,Reportable
2467010,24,Indigenous Identity,2,10,1.7,Reportable
2467010,24,Parent(s) Less Than High School,3,35,5.932203389830509,Reportable
2467010,24,Immigrant Parent(s),4,125,21.1864406779661,Reportable
2467010,24,Lone Parent,5,85,14.40677966101695,Reportable
2467015,24,Below LIM,1,75,5.0,Reportable
2467015,24,Indigenous Identity,2,0,0.0,Reportable
2467015,24,Parent(s) Less Than High School,3,30,1.9867549668874174,Reportable
2467015,24,Immigrant Parent(s),4,610,40.397350993377486,Reportable
2467015,24,Lone Parent,5,155,10.264900662251655,Reportable
2467020,24,Below LIM,1,75,4.9,Reportable
2467020,24,Indigenous Identity,2,40,2.6,Reportable
2467020,24,Parent(s) Less Than High School,3,25,1.6181229773462782,Reportable
2467020,24,Immigrant Parent(s),4,700,45.307443365695796,Reportable
2467020,24,Lone Parent,5,115,7.443365695792881,Reportable
2467025,24,Below LIM,1,20,4.3,Reportable
2467025,24,Indigenous Identity,2,0,0.0,Reportable
2467025,24,Parent(s) Less Than High School,3,10,2.1505376344086025,Reportable
2467025,24,Immigrant Parent(s),4,120,25.806451612903224,Reportable
2467025,24,Lone Parent,5,50,10.75268817204301,Reportable
2467030,24,Below LIM,1,50,5.2,Reportable
2467030,24,Indigenous Identity,2,10,1.0,Reportable
2467030,24,Parent(s) Less Than High School,3,55,5.729166666666666,Reportable
2467030,24,Immigrant Parent(s),4,235,24.479166666666664,Reportable
2467030,24,Lone Parent,5,110,11.458333333333332,Reportable
2467035,24,Below LIM,1,105,4.8,Reportable
2467035,24,Indigenous Identity,2,35,1.6,Reportable
2467035,24,Parent(s) Less Than High School,3,60,2.7649769585253456,Reportable
2467035,24,Immigrant Parent(s),4,755,34.7926267281106,Reportable
2467035,24,Lone Parent,5,230,10.599078341013826,Reportable
2467040,24,Below LIM,1,0,0.0,Reportable
2467040,24,Indigenous Identity,2,0,0.0,Reportable
2467040,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2467040,24,Immigrant Parent(s),4,0,0.0,Reportable
2467040,24,Lone Parent,5,25,9.433962264150944,Reportable
2467045,24,Below LIM,1,65,5.2,Reportable
2467045,24,Indigenous Identity,2,25,2.0,Reportable
2467045,24,Parent(s) Less Than High School,3,30,2.4193548387096775,Reportable
2467045,24,Immigrant Parent(s),4,390,31.451612903225808,Reportable
2467045,24,Lone Parent,5,140,11.29032258064516,Reportable
2467050,24,Below LIM,1,330,10.1,Reportable
2467050,24,Indigenous Identity,2,135,4.1,Reportable
2467050,24,Parent(s) Less Than High School,3,185,5.648854961832061,Reportable
2467050,24,Immigrant Parent(s),4,1375,41.98473282442748,Reportable
2467050,24,Lone Parent,5,500,15.267175572519085,Reportable
2467055,24,Below LIM,1,0,0.0,Reportable
2467055,24,Indigenous Identity,2,0,0.0,Reportable
2467055,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2467055,24,Immigrant Parent(s),4,0,0.0,Reportable
2467055,24,Lone Parent,5,15,13.043478260869565,Reportable
2467802,24,Below LIM,1,,,Missing
2467802,24,Indigenous Identity,2,,,Missing
2467802,24,Parent(s) Less Than High School,3,,,Suppressed
2467802,24,Immigrant Parent(s),4,,,Suppressed
2467802,24,Lone Parent,5,,,Missing
2468005,24,Below LIM,1,20,19.1,Reportable
2468005,24,Indigenous Identity,2,0,0.0,Reportable
2468005,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2468005,24,Immigrant Parent(s),4,0,0.0,Reportable
2468005,24,Lone Parent,5,15,14.285714285714285,Reportable
2468010,24,Below LIM,1,0,0.0,Reportable
2468010,24,Indigenous Identity,2,0,0.0,Reportable
2468010,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2468010,24,Immigrant Parent(s),4,0,0.0,Reportable
2468010,24,Lone Parent,5,0,0.0,Reportable
2468015,24,Below LIM,1,0,0.0,Reportable
2468015,24,Indigenous Identity,2,10,11.8,Reportable
2468015,24,Parent(s) Less Than High School,3,15,16.666666666666664,Reportable
2468015,24,Immigrant Parent(s),4,0,0.0,Reportable
2468015,24,Lone Parent,5,0,0.0,Reportable
2468020,24,Below LIM,1,35,18.4,Reportable
2468020,24,Indigenous Identity,2,0,0.0,Reportable
2468020,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2468020,24,Immigrant Parent(s),4,0,0.0,Reportable
2468020,24,Lone Parent,5,25,13.157894736842104,Reportable
2468025,24,Below LIM,1,0,0.0,Reportable
2468025,24,Indigenous Identity,2,10,7.4,Reportable
2468025,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2468025,24,Immigrant Parent(s),4,0,0.0,Reportable
2468025,24,Lone Parent,5,25,17.857142857142858,Reportable
2468030,24,Below LIM,1,0,0.0,Reportable
2468030,24,Indigenous Identity,2,0,0.0,Reportable
2468030,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2468030,24,Immigrant Parent(s),4,0,0.0,Reportable
2468030,24,Lone Parent,5,40,12.903225806451612,Reportable
2468035,24,Below LIM,1,0,0.0,Reportable
2468035,24,Indigenous Identity,2,0,0.0,Reportable
2468035,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2468035,24,Immigrant Parent(s),4,0,0.0,Reportable
2468035,24,Lone Parent,5,0,0.0,Reportable
2468040,24,Below LIM,1,0,0.0,Reportable
2468040,24,Indigenous Identity,2,10,4.9,Reportable
2468040,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2468040,24,Immigrant Parent(s),4,0,0.0,Reportable
2468040,24,Lone Parent,5,15,7.317073170731707,Reportable
2468045,24,Below LIM,1,0,0.0,Reportable
2468045,24,Indigenous Identity,2,0,0.0,Reportable
2468045,24,Parent(s) Less Than High School,3,10,7.4074074074074066,Reportable
2468045,24,Immigrant Parent(s),4,0,0.0,Reportable
2468045,24,Lone Parent,5,15,11.11111111111111,Reportable
2468050,24,Below LIM,1,0,0.0,Reportable
2468050,24,Indigenous Identity,2,0,0.0,Reportable
2468050,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2468050,24,Immigrant Parent(s),4,10,3.7735849056603774,Reportable
2468050,24,Lone Parent,5,30,11.320754716981133,Reportable
2468055,24,Below LIM,1,45,7.0,Reportable
2468055,24,Indigenous Identity,2,10,1.6,Reportable
2468055,24,Parent(s) Less Than High School,3,40,6.2015503875969,Reportable
2468055,24,Immigrant Parent(s),4,70,10.852713178294573,Reportable
2468055,24,Lone Parent,5,110,17.05426356589147,Reportable
2469005,24,Below LIM,1,0,0.0,Reportable
2469005,24,Indigenous Identity,2,0,0.0,Reportable
2469005,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2469005,24,Immigrant Parent(s),4,0,0.0,Reportable
2469005,24,Lone Parent,5,0,0.0,Reportable
2469010,24,Below LIM,1,0,0.0,Reportable
2469010,24,Indigenous Identity,2,0,0.0,Reportable
2469010,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2469010,24,Immigrant Parent(s),4,10,9.523809523809524,Reportable
2469010,24,Lone Parent,5,0,0.0,Reportable
2469017,24,Below LIM,1,0,0.0,Reportable
2469017,24,Indigenous Identity,2,0,0.0,Reportable
2469017,24,Parent(s) Less Than High School,3,15,8.333333333333332,Reportable
2469017,24,Immigrant Parent(s),4,0,0.0,Reportable
2469017,24,Lone Parent,5,25,13.88888888888889,Reportable
2469025,24,Below LIM,1,0,0.0,Reportable
2469025,24,Indigenous Identity,2,0,0.0,Reportable
2469025,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2469025,24,Immigrant Parent(s),4,0,0.0,Reportable
2469025,24,Lone Parent,5,10,14.285714285714285,Reportable
2469030,24,Below LIM,1,0,0.0,Reportable
2469030,24,Indigenous Identity,2,0,0.0,Reportable
2469030,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2469030,24,Immigrant Parent(s),4,0,0.0,Reportable
2469030,24,Lone Parent,5,10,11.11111111111111,Reportable
2469037,24,Below LIM,1,45,17.3,Reportable
2469037,24,Indigenous Identity,2,0,0.0,Reportable
2469037,24,Parent(s) Less Than High School,3,10,3.8461538461538463,Reportable
2469037,24,Immigrant Parent(s),4,0,0.0,Reportable
2469037,24,Lone Parent,5,55,21.153846153846153,Reportable
2469045,24,Below LIM,1,35,30.4,Reportable
2469045,24,Indigenous Identity,2,0,0.0,Reportable
2469045,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2469045,24,Immigrant Parent(s),4,0,0.0,Reportable
2469045,24,Lone Parent,5,20,18.181818181818183,Reportable
2469050,24,Below LIM,1,0,0.0,Reportable
2469050,24,Indigenous Identity,2,0,0.0,Reportable
2469050,24,Parent(s) Less Than High School,3,0,0.0,Reportable
2469050,24,Immigrant Parent(s),4,0,0.0,Reportable
2469050,24,Lone Parent,5,0,0.0,Reportable
2469055,24,Below LIM,1,50,25.6,Reportable
2469055,24,Indigenous Identity,2,20,10.3,Reportable
2469055,24,Parent(s) Less Than High School,3,45,23.076923076923077,Reportable
2469055,24,Immigrant Parent(s),4,0,0.0,Reportable
2469055,24,Lone Parent,5,45,23.076923076923077,Reportable
