CSD Number,CSD Name,Province Code,Province Name,MIZ Identifier,MIZ Label,MIZ Analysis Label,Geography Type,Population in Census Families,Children Aged 0 to 5,Child Population Band,Child Population Band Sort,Public Denominator Flag,Population Status,Children Status,MIZ Status,Province Status
1302028,Saint Croix,13,New Brunswick,6,Weak MIZ,Weak MIZ,MIZ,605,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1302031,Dufferin,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,490,25,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1302034,Saint Stephen,13,New Brunswick,6,Weak MIZ,Weak MIZ,MIZ,1390,80,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1302037,St. Stephen,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,3295,225,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1302039,Saint James,13,New Brunswick,6,Weak MIZ,Weak MIZ,MIZ,895,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1302042,Saint David,13,New Brunswick,6,Weak MIZ,Weak MIZ,MIZ,1225,60,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1302044,Dumbarton,13,New Brunswick,6,Weak MIZ,Weak MIZ,MIZ,295,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1302052,Grand Manan,13,New Brunswick,6,Weak MIZ,Weak MIZ,MIZ,2070,185,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1303001,Blissville,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,645,40,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1303004,Gladstone,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,390,25,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1303005,Tracy,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,525,40,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1303006,Fredericton Junction,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,610,45,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1303008,Lincoln,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,6475,440,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1303011,Burton,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,4475,370,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1303012,Oromocto,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,7280,730,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1303013,Oromocto 26,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,245,40,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1303014,Sheffield,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,755,45,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1303016,Maugerville,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,1540,110,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1303018,Northfield,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,430,25,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1304001,Petersville,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,590,75,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1304004,Gagetown,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,320,25,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1304005,Gagetown,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,485,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1304006,Hampstead,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,255,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1304008,Wickham,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,330,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1304011,Cambridge,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,390,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1304013,Cambridge-Narrows,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,500,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1304014,Johnston,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,610,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1304016,Brunswick,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,185,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1304018,Waterborough,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,760,40,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1304021,Canning,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,840,40,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1304022,Minto,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1625,90,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1304024,Chipman,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,745,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1304025,Chipman,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,950,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305001,Hammond,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,260,20,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305004,Upham,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,1165,110,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305006,Hampton,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,2620,145,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305007,Hampton,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,3805,265,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305008,Rothesay,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,395,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305011,Westfield,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,1800,115,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305014,Kingston,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,2745,235,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305015,Grand Bay-Westfield,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,4385,260,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305016,Norton,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,1175,105,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305018,Norton,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1220,65,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305021,Sussex,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,2165,140,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305022,Sussex,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,3325,260,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305023,Sussex Corner,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1265,85,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305024,Waterford,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,370,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305026,Cardwell,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1115,35,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305028,Havelock,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,915,80,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305031,Studholm,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,2960,195,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305034,Springfield,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1495,130,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305036,Kars,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,250,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305038,Greenwich,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,860,40,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305045,Rothesay,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,10385,665,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1305057,Quispamsis,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,16815,1170,"1,000+ children",1,"1,000+ children",Reportable,Reportable,Reportable,Reportable
1306001,Hopewell,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,465,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1306003,Riverside-Albert,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,175,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1306004,Harvey,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,325,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1306006,Alma,13,New Brunswick,7,No MIZ,No MIZ,MIZ,215,20,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1306007,Alma,13,New Brunswick,7,No MIZ,No MIZ,MIZ,,,Unknown / suppressed,5,"Under 1,000 children",Suppressed,Suppressed,Reportable,Reportable
1306008,Elgin,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,850,35,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1306011,Hillsborough,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,1190,80,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1306014,Coverdale,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,4185,335,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1306020,Riverview,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,16905,1030,"1,000+ children",1,"1,000+ children",Reportable,Reportable,Reportable,Reportable
1306025,Hillsborough,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,1070,110,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307001,Westmorland,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,845,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307002,Port Elgin,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,270,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307004,Botsford,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,855,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307005,Beaubassin East / Beaubassin-est,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,5750,295,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307007,Cap-Pelé,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1920,95,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307008,Sackville,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1030,105,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307009,Sackville,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,4505,275,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307011,Dorchester,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,375,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307012,Dorchester,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,350,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307013,Memramcook,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,4275,215,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307014,Fort Folly 1,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,,,Unknown / suppressed,5,"Under 1,000 children",Suppressed,Suppressed,Reportable,Reportable
1307016,Shediac,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,4265,210,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307019,Moncton,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,9340,645,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307022,Moncton,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,58005,4495,"1,000+ children",1,"1,000+ children",Reportable,Reportable,Reportable,Reportable
1307024,Salisbury,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,2810,155,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307028,Salisbury,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,1910,170,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307029,Petitcodiac,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,1230,110,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1307045,Dieppe,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,22855,1525,"1,000+ children",1,"1,000+ children",Reportable,Reportable,Reportable,Reportable
1307052,Shediac,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,5365,320,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308001,Dundas,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,3650,245,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308002,Cocagne,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,2240,135,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308003,Buctouche 16,13,New Brunswick,7,No MIZ,No MIZ,MIZ,80,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1308004,Wellington,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,2760,90,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308005,Bouctouche,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1765,110,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308006,Saint Mary,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,1665,120,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308007,Saint-Antoine,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,1405,85,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308008,Saint-Paul,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,735,35,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308010,Harcourt,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,180,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308012,Huskisson,13,New Brunswick,7,No MIZ,No MIZ,MIZ,,,Unknown / suppressed,5,"Under 1,000 children",Suppressed,Suppressed,Reportable,Reportable
1308014,Weldford,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1070,25,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308015,Richibucto 15,13,New Brunswick,6,Weak MIZ,Weak MIZ,MIZ,1605,200,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308016,Richibucto,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1720,60,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308017,Rexton,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,670,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308018,Richibucto,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,960,85,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308019,Saint-Charles,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1705,95,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308020,Indian Island 28,13,New Brunswick,7,No MIZ,No MIZ,MIZ,95,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1308021,Saint-Louis,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1455,125,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308022,Saint-Louis de Kent,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,690,65,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308024,Acadieville,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,645,65,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1308026,Carleton,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,540,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309001,Hardwicke,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1775,45,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309004,Glenelg,13,New Brunswick,3,Inside non-tracted CA,Inside non-tracted CA,CA,1300,70,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309006,Chatham,13,New Brunswick,3,Inside non-tracted CA,Inside non-tracted CA,CA,440,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309010,Renous 12,13,New Brunswick,7,No MIZ,No MIZ,MIZ,,,Unknown / suppressed,5,"Under 1,000 children",Suppressed,Suppressed,Reportable,Reportable
1309011,Derby,13,New Brunswick,3,Inside non-tracted CA,Inside non-tracted CA,CA,710,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309014,Nelson,13,New Brunswick,3,Inside non-tracted CA,Inside non-tracted CA,CA,825,40,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309016,Rogersville,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,855,40,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309017,Rogersville,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,835,45,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309018,Blackville,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,1545,80,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309019,Blackville,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,750,35,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309021,Blissfield,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,435,20,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309022,Doaktown,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,675,40,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309023,Red Bank 4,13,New Brunswick,3,Inside non-tracted CA,Inside non-tracted CA,CA,275,25,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309026,Southesk,13,New Brunswick,3,Inside non-tracted CA,Inside non-tracted CA,CA,1425,70,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309027,Upper Miramichi,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1755,100,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309028,Northesk,13,New Brunswick,3,Inside non-tracted CA,Inside non-tracted CA,CA,1800,90,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309031,Newcastle,13,New Brunswick,3,Inside non-tracted CA,Inside non-tracted CA,CA,990,80,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309033,Big Hole Tract 8 (North Half),13,New Brunswick,3,Inside non-tracted CA,Inside non-tracted CA,CA,,,Unknown / suppressed,5,"Under 1,000 children",Suppressed,Suppressed,Reportable,Reportable
1309034,Big Hole Tract 8 (South Half),13,New Brunswick,3,Inside non-tracted CA,Inside non-tracted CA,CA,,,Unknown / suppressed,5,"Under 1,000 children",Suppressed,Suppressed,Reportable,Reportable
1309035,Eel Ground 2,13,New Brunswick,3,Inside non-tracted CA,Inside non-tracted CA,CA,420,45,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309036,Alnwick,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,2965,130,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309038,Neguac,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1225,95,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309044,Esgenoôpetitj 14,13,New Brunswick,6,Weak MIZ,Weak MIZ,MIZ,965,75,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1309047,Tabusintac 9,13,New Brunswick,7,No MIZ,No MIZ,MIZ,,,Unknown / suppressed,5,"Under 1,000 children",Suppressed,Suppressed,Reportable,Reportable
1309050,Miramichi,13,New Brunswick,3,Inside non-tracted CA,Inside non-tracted CA,CA,13520,775,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310001,New Maryland,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,2535,225,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310002,New Maryland,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,3835,240,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310004,Manners Sutton,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,1665,105,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310005,Harvey,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,295,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310006,McAdam,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,935,85,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310007,McAdam,13,New Brunswick,7,No MIZ,No MIZ,MIZ,40,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1310008,North Lake,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,155,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1310011,Canterbury,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,425,25,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310012,Canterbury,13,New Brunswick,6,Weak MIZ,Weak MIZ,MIZ,305,20,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310013,Meductic,13,New Brunswick,7,No MIZ,No MIZ,MIZ,210,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1310014,Dumfries,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,360,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310016,Prince William,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,920,75,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310017,Hanwell,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,4255,220,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310018,Kingsclear,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,2555,165,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310019,Kingsclear 6,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,410,45,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310021,Queensbury,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,1020,70,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310024,Southampton,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,1255,45,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310025,Millville,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,225,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310026,Bright,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,2935,180,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310028,Douglas,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,5260,365,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310031,Saint Marys,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,4505,320,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310032,Fredericton,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,46200,3440,"1,000+ children",1,"1,000+ children",Reportable,Reportable,Reportable,Reportable
1310034,Devon 30,13,New Brunswick,1,Inside CMA,Inside CMA,CMA,905,85,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310036,Stanley,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,850,50,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310037,Stanley,13,New Brunswick,4,Strong MIZ,Strong MIZ,MIZ,250,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1310054,Nackawic,13,New Brunswick,5,Moderate MIZ,Moderate MIZ,MIZ,785,50,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1311001,Richmond,13,New Brunswick,6,Weak MIZ,Weak MIZ,MIZ,1270,105,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1311004,Woodstock,13,New Brunswick,6,Weak MIZ,Weak MIZ,MIZ,1890,155,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1311005,Woodstock 23,13,New Brunswick,6,Weak MIZ,Weak MIZ,MIZ,345,35,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1311006,Woodstock,13,New Brunswick,6,Weak MIZ,Weak MIZ,MIZ,4030,305,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
