Record Type,Province Code,Province Name,Is Canada,Population in Census Families,Children Aged 0 to 5,Population Status,Children Status,CSD Number,CSD Name,MIZ Identifier,MIZ Label,MIZ Analysis Label,Geography Type,Child Population Band,Child Population Band Sort,Public Denominator Flag,MIZ Status,Province Status,Indicator,Indicator Short Name,Indicator Description,Indicator Sort,Children Count,Percent,Value Status,Note Number,Note
Province Indicators,24,Quebec,,,,,,,,,,,,,,,,,Immigrant Parent(s),,,4,149265,29.167847267682145,Reportable,,
Province Indicators,24,Quebec,,,,,,,,,,,,,,,,,Lone Parent,,,5,70010,13.68064172585956,Reportable,,
Province Indicators,35,Ontario,,,,,,,,,,,,,,,,,Below LIM,,,1,101450,12.3,Reportable,,
Province Indicators,35,Ontario,,,,,,,,,,,,,,,,,Indigenous Identity,,,2,31775,3.8,Reportable,,
Province Indicators,35,Ontario,,,,,,,,,,,,,,,,,Parent(s) Less Than High School,,,3,46635,5.636671299933522,Reportable,,
Province Indicators,35,Ontario,,,,,,,,,,,,,,,,,Immigrant Parent(s),,,4,361725,43.72091617815918,Reportable,,
Province Indicators,35,Ontario,,,,,,,,,,,,,,,,,Lone Parent,,,5,124490,15.046836284522874,Reportable,,
Province Indicators,46,Manitoba,,,,,,,,,,,,,,,,,Below LIM,,,1,20370,21.7,Reportable,,
Province Indicators,46,Manitoba,,,,,,,,,,,,,,,,,Indigenous Identity,,,2,26085,27.8,Reportable,,
Province Indicators,46,Manitoba,,,,,,,,,,,,,,,,,Parent(s) Less Than High School,,,3,11000,11.740847475717793,Reportable,,
Province Indicators,46,Manitoba,,,,,,,,,,,,,,,,,Immigrant Parent(s),,,4,30815,32.89038317856762,Reportable,,
Province Indicators,46,Manitoba,,,,,,,,,,,,,,,,,Lone Parent,,,5,17835,19.03618315722062,Reportable,,
Province Indicators,47,Saskatchewan,,,,,,,,,,,,,,,,,Below LIM,,,1,15080,18.4,Reportable,,
Province Indicators,47,Saskatchewan,,,,,,,,,,,,,,,,,Indigenous Identity,,,2,20785,25.3,Reportable,,
Province Indicators,47,Saskatchewan,,,,,,,,,,,,,,,,,Parent(s) Less Than High School,,,3,7060,8.604509445460087,Reportable,,
Province Indicators,47,Saskatchewan,,,,,,,,,,,,,,,,,Immigrant Parent(s),,,4,19520,23.790371724558195,Reportable,,
Province Indicators,47,Saskatchewan,,,,,,,,,,,,,,,,,Lone Parent,,,5,16425,20.018281535648992,Reportable,,
Province Indicators,48,Alberta,,,,,,,,,,,,,,,,,Below LIM,,,1,35205,11.7,Reportable,,
Province Indicators,48,Alberta,,,,,,,,,,,,,,,,,Indigenous Identity,,,2,26600,8.8,Reportable,,
Province Indicators,48,Alberta,,,,,,,,,,,,,,,,,Parent(s) Less Than High School,,,3,20110,6.683505600053176,Reportable,,
Province Indicators,48,Alberta,,,,,,,,,,,,,,,,,Immigrant Parent(s),,,4,120580,40.074445810761404,Reportable,,
Province Indicators,48,Alberta,,,,,,,,,,,,,,,,,Lone Parent,,,5,38605,12.83027019841138,Reportable,,
Province Indicators,59,British Columbia,,,,,,,,,,,,,,,,,Below LIM,,,1,28540,10.9,Reportable,,
Province Indicators,59,British Columbia,,,,,,,,,,,,,,,,,Indigenous Identity,,,2,23210,8.9,Reportable,,
Province Indicators,59,British Columbia,,,,,,,,,,,,,,,,,Parent(s) Less Than High School,,,3,9590,3.6675845188924585,Reportable,,
Province Indicators,59,British Columbia,,,,,,,,,,,,,,,,,Immigrant Parent(s),,,4,110100,42.10647085819183,Reportable,,
Province Indicators,59,British Columbia,,,,,,,,,,,,,,,,,Lone Parent,,,5,32285,12.347024629034726,Reportable,,
Province Indicators,60,Yukon,,,,,,,,,,,,,,,,,Below LIM,,,1,250,9.4,Reportable,,
Province Indicators,60,Yukon,,,,,,,,,,,,,,,,,Indigenous Identity,,,2,825,30.9,Reportable,,
Province Indicators,60,Yukon,,,,,,,,,,,,,,,,,Parent(s) Less Than High School,,,3,150,5.617977528089887,Reportable,,
Province Indicators,60,Yukon,,,,,,,,,,,,,,,,,Immigrant Parent(s),,,4,595,22.284644194756552,Reportable,,
